date,census_district_name,census_state_name,commodity_name,min_price,max_price,modal_price
2023-07-09,Surat,GUJARAT,Wheat,1800.0,1800.0,1800.0
2023-03-20,Ghazipur,UTTAR PRADESH,Wheat,2280.0,2320.0,2300.0
2023-10-29,Malappuram,KERALA,Rice,4400.0,4500.0,4450.0
2023-12-22,Ganganagar ,RAJASTHAN,Wheat,2400.0,2400.0,2400.0
2023-07-23,Maldah ,WEST BENGAL,Rice,2800.0,3000.0,2900.0
2023-10-03,Khargone (West Nimar),MADHYA PRADESH,Wheat,2400.0,2700.0,2500.0
2023-03-15,Murshidabad ,WEST BENGAL,Rice,3450.0,3525.0,3500.0
2023-03-21,Dewas,MADHYA PRADESH,Wheat,2300.0,2300.0,2300.0
2023-01-24,Ahmadnagar,MAHARASHTRA,Wheat,2500.0,3000.0,2750.0
2023-08-17,Chhindwara,MADHYA PRADESH,Wheat,2350.0,2776.0,2470.0
2023-06-28,Bidar,KARNATAKA,Rice,4500.0,6000.0,5500.0
2023-04-04,Sehore,MADHYA PRADESH,Wheat,2400.0,4600.0,4141.0
2023-04-14,Balrampur,UTTAR PRADESH,Wheat,2175.0,2250.0,2225.0
2023-02-10,Barddhaman ,WEST BENGAL,Wheat,2600.0,2800.0,2750.0
2023-06-01,Unnao,UTTAR PRADESH,Rice,2500.0,2595.0,2560.0
2023-10-05,Jalgaon,MAHARASHTRA,Wheat,2200.0,2500.0,2400.0
2023-04-03,Nadia ,WEST BENGAL,Rice,4250.0,4350.0,4300.0
2023-10-05,North,NCT OF DELHI,Wheat,2340.0,2517.0,2440.0
2023-05-04,Sirsa,HARYANA,Wheat,2320.0,2320.0,2320.0
2023-05-03,Sawai Madhopur,RAJASTHAN,Wheat,1925.0,2275.0,2035.0
2023-11-09,Rajkot,GUJARAT,Wheat,2410.0,3000.0,2705.0
2023-04-20,Bankura ,WEST BENGAL,Wheat,2150.0,2300.0,2200.0
2023-02-05,Murshidabad ,WEST BENGAL,Wheat,2300.0,2400.0,2350.0
2023-04-17,Dohad  ,GUJARAT,Wheat,2500.0,2777.0,2625.0
2023-06-16,Shivpuri,MADHYA PRADESH,Wheat,2010.0,2070.0,2045.0
2023-06-01,Dewas,MADHYA PRADESH,Wheat,1950.0,2400.0,2200.0
2023-10-23,Udham Singh Nagar,UTTARAKHAND,Rice,3070.0,3090.0,3076.0
2023-01-03,Kheri,UTTAR PRADESH,Rice,2060.0,2260.0,2160.0
2023-12-12,Uttar Dinajpur,WEST BENGAL,Rice,3700.0,3900.0,3800.0
2023-05-08,Gautam Buddha Nagar,UTTAR PRADESH,Rice,2850.0,3050.0,2950.0
2023-09-07,Saharanpur,UTTAR PRADESH,Rice,2845.0,3110.0,2975.0
2023-05-16,Bankura ,WEST BENGAL,Wheat,2150.0,2300.0,2200.0
2023-11-05,Moradabad,UTTAR PRADESH,Wheat,2340.0,2360.0,2350.0
2023-08-06,Barddhaman ,WEST BENGAL,Rice,3100.0,3400.0,3300.0
2023-08-25,Ujjain,MADHYA PRADESH,Wheat,2316.0,2736.0,2526.0
2023-09-28,Tonk,RAJASTHAN,Wheat,2325.0,2334.0,2330.0
2023-02-17,Sonbhadra,UTTAR PRADESH,Wheat,2700.0,2925.0,2810.0
2023-10-30,Solapur,MAHARASHTRA,Rice,3015.0,6400.0,3700.0
2023-04-02,Ujjain,MADHYA PRADESH,Wheat,1985.0,2126.0,2050.0
2023-03-20,Osmanabad,MAHARASHTRA,Wheat,1801.0,3100.0,2100.0
2023-05-08,South Twenty Four Parganas,WEST BENGAL,Rice,4400.0,4600.0,4500.0
2023-03-08,Shivpuri,MADHYA PRADESH,Wheat,2015.0,2015.0,2015.0
2023-01-27,Jhansi,UTTAR PRADESH,Rice,2470.0,2560.0,2520.0
2023-03-02,Banas Kantha,GUJARAT,Wheat,1995.0,2045.0,2000.0
2023-01-05,Tikamgarh,MADHYA PRADESH,Wheat,2500.0,2550.0,2550.0
2023-10-20,Raigarh,MAHARASHTRA,Wheat,2000.0,2600.0,2300.0
2023-03-17,Rajgarh,MADHYA PRADESH,Wheat,1500.0,2100.0,1800.0
2023-05-10,Alwar,RAJASTHAN,Wheat,2045.0,2121.0,2070.0
2023-06-19,Ashoknagar,MADHYA PRADESH,Wheat,1940.0,2155.0,2080.0
2023-07-05,Junagadh,GUJARAT,Wheat,2035.0,2325.0,2180.0
2023-12-07,Bankura ,WEST BENGAL,Rice,3550.0,3700.0,3600.0
2023-04-10,Pilibhit,UTTAR PRADESH,Rice,2650.0,2725.0,2685.0
2023-12-29,Rajkot,GUJARAT,Wheat,2250.0,2900.0,2400.0
2023-07-07,Hanumangarh,RAJASTHAN,Wheat,2187.0,2187.0,2187.0
2023-03-22,Bhopal,MADHYA PRADESH,Wheat,1955.0,2400.0,2258.0
2023-02-22,Jagatsinghapur ,ODISHA,Rice,1800.0,5000.0,3200.0
2023-09-29,South Tripura ,TRIPURA,Rice,4450.0,4550.0,4500.0
2023-01-17,Rajkot,GUJARAT,Wheat,2550.0,2805.0,2650.0
2023-11-10,Siddharthnagar,UTTAR PRADESH,Wheat,2300.0,2450.0,2375.0
2023-09-06,Auraiya,UTTAR PRADESH,Wheat,2300.0,2400.0,2320.0
2023-11-03,Amreli,GUJARAT,Wheat,2665.0,2815.0,2740.0
2023-01-07,Fatehpur,UTTAR PRADESH,Rice,2400.0,2550.0,2480.0
2023-01-24,Rajkot,GUJARAT,Wheat,2500.0,3150.0,2750.0
2023-07-16,Bulandshahr ,UTTAR PRADESH,Wheat,2220.0,2260.0,2240.0
2023-02-28,Rae Bareli,UTTAR PRADESH,Wheat,2140.0,2180.0,2160.0
2023-04-03,Junagadh,GUJARAT,Wheat,2000.0,2615.0,2250.0
2023-04-27,Bankura ,WEST BENGAL,Wheat,2150.0,2300.0,2200.0
2023-01-13,Mandsaur,MADHYA PRADESH,Wheat,2525.0,2711.0,2575.0
2023-11-18,Dhar,MADHYA PRADESH,Wheat,2500.0,2780.0,2725.0
2023-04-14,Shajapur,MADHYA PRADESH,Wheat,2125.0,2125.0,2125.0
2023-02-03,Amreli,GUJARAT,Wheat,3025.0,3360.0,3193.0
2023-07-14,Thane,MAHARASHTRA,Wheat,3200.0,3600.0,3400.0
2023-10-07,Hingoli,MAHARASHTRA,Wheat,2100.0,2200.0,2150.0
2023-01-28,West Tripura ,TRIPURA,Rice,3750.0,3850.0,3800.0
2023-08-03,Rajkot,GUJARAT,Wheat,2230.0,2600.0,2485.0
2023-05-09,Farrukhabad,UTTAR PRADESH,Rice,2370.0,2390.0,2380.0
2023-11-05,Fatehpur,UTTAR PRADESH,Wheat,2150.0,2170.0,2160.0
2023-12-09,Sitapur,UTTAR PRADESH,Wheat,2405.0,2445.0,2425.0
2023-03-02,Kolar,KARNATAKA,Rice,2200.0,2300.0,2250.0
2023-08-10,Jalgaon,MAHARASHTRA,Wheat,2440.0,2950.0,2680.0
2023-05-08,Sant Ravidas Nagar (Bhadohi),UTTAR PRADESH,Rice,2520.0,2620.0,2570.0
2023-04-02,Balrampur,UTTAR PRADESH,Rice,2500.0,2550.0,2530.0
2023-07-09,Shajapur,MADHYA PRADESH,Wheat,2615.0,3060.0,2840.0
2023-08-03,Chhatarpur,MADHYA PRADESH,Wheat,2270.0,2310.0,2290.0
2023-02-20,Sitapur,UTTAR PRADESH,Rice,2410.0,2440.0,2425.0
2023-07-07,Jhansi,UTTAR PRADESH,Rice,2500.0,2600.0,2550.0
2023-07-13,Mandsaur,MADHYA PRADESH,Wheat,1830.0,2726.0,2300.0
2023-01-07,Ujjain,MADHYA PRADESH,Wheat,2280.0,2755.0,2698.0
2023-05-16,Dohad  ,GUJARAT,Wheat,2375.0,2600.0,2500.0
2023-08-23,Haora ,WEST BENGAL,Rice,3200.0,3400.0,3300.0
2023-12-18,Baran,RAJASTHAN,Wheat,2345.0,2530.0,2437.0
2023-04-29,Kanpur Dehat,UTTAR PRADESH,Rice,2380.0,2425.0,2400.0
2023-06-07,Vidisha,MADHYA PRADESH,Wheat,2040.0,2287.0,2140.0
2023-06-29,Bankura ,WEST BENGAL,Rice,4600.0,4700.0,4650.0
2023-07-04,Solapur,MAHARASHTRA,Rice,3015.0,6390.0,3725.0
2023-04-28,Rewa,MADHYA PRADESH,Wheat,1940.0,2127.0,2000.0
2023-11-08,Raigarh,MAHARASHTRA,Wheat,2300.0,2700.0,2500.0
2023-08-08,Raigarh,MAHARASHTRA,Rice,1000.0,1500.0,1200.0
2023-12-02,Bharatpur,RAJASTHAN,Wheat,2549.0,2600.0,2560.0
2023-12-14,Katni ,MADHYA PRADESH,Wheat,2276.0,2461.0,2386.0
2023-02-06,Haora ,WEST BENGAL,Rice,3100.0,3300.0,3200.0
2023-08-25,Gulbarga,KARNATAKA,Rice,2150.0,2950.0,2500.0
2023-04-17,Banas Kantha,GUJARAT,Wheat,2175.0,3600.0,2887.5
2023-02-16,Thoubal,MANIPUR,Rice,3100.0,3100.0,3100.0
2023-10-27,Rajgarh,MADHYA PRADESH,Wheat,2440.0,2650.0,2524.0
2023-04-19,Indore,MADHYA PRADESH,Wheat,1800.0,2450.0,1950.0
2023-08-15,Unnao,UTTAR PRADESH,Rice,2540.0,2600.0,2580.0
2023-12-23,Agra,UTTAR PRADESH,Rice,2850.0,3050.0,2920.0
2023-05-03,West Tripura ,TRIPURA,Rice,4050.0,4150.0,4100.0
2023-03-07,Jaunpur,UTTAR PRADESH,Wheat,2460.0,2515.0,2480.0
2023-02-07,Barddhaman ,WEST BENGAL,Rice,3250.0,3350.0,3300.0
2023-10-26,Jhansi,UTTAR PRADESH,Wheat,2300.0,2420.0,2380.0
2023-10-26,Tikamgarh,MADHYA PRADESH,Wheat,2320.0,2400.0,2340.0
2023-02-11,Mahrajganj,UTTAR PRADESH,Wheat,2625.0,2825.0,2725.0
2023-02-15,Satna,MADHYA PRADESH,Wheat,1225.0,2300.0,2210.0
2023-04-26,North Tripura,TRIPURA,Rice,3200.0,3400.0,3300.0
2023-03-29,Hamirpur,UTTAR PRADESH,Wheat,1975.0,2100.0,2020.0
2023-06-26,Aligarh,UTTAR PRADESH,Wheat,2150.0,2250.0,2200.0
2023-01-31,Firozabad,UTTAR PRADESH,Rice,2830.0,3030.0,2930.0
2023-04-10,Bhind,MADHYA PRADESH,Wheat,1950.0,2031.0,2000.0
2023-03-09,Khargone (West Nimar),MADHYA PRADESH,Wheat,1965.0,2155.0,2100.0
2023-10-30,Ahmadabad,GUJARAT,Wheat,2700.0,3200.0,2755.0
2023-04-17,Hisar,HARYANA,Wheat,2125.0,2126.0,2126.0
2023-02-21,Lucknow,UTTAR PRADESH,Rice,2460.0,2560.0,2510.0
2023-02-08,Bareilly,UTTAR PRADESH,Wheat,2700.0,2750.0,2725.0
2023-04-20,Etah,UTTAR PRADESH,Wheat,2125.0,2150.0,2135.0
2023-03-14,Narsimhapur,MADHYA PRADESH,Wheat,1801.0,2210.0,2050.0
2023-10-02,Umaria,MADHYA PRADESH,Wheat,1900.0,2300.0,2100.0
2023-09-13,Aurangabad,MAHARASHTRA,Wheat,2525.0,2900.0,2650.0
2023-09-19,Junagadh,GUJARAT,Wheat,2250.0,2725.0,2575.0
2023-07-04,Shahjahanpur,UTTAR PRADESH,Rice,2560.0,2730.0,2635.0
2023-05-25,Jhansi,UTTAR PRADESH,Wheat,2125.0,2140.0,2130.0
2023-01-04,Ratlam,MADHYA PRADESH,Wheat,2500.0,3063.0,2700.0
2023-06-05,Nashik,MAHARASHTRA,Wheat,2131.0,2511.0,2306.0
2023-02-07,Dausa,RAJASTHAN,Wheat,2602.0,2665.0,2638.0
2023-08-24,Kolar,KARNATAKA,Rice,3500.0,4500.0,4006.0
2023-07-11,Chittaurgarh,RAJASTHAN,Wheat,2000.0,2400.0,2200.0
2023-04-25,Faizabad,UTTAR PRADESH,Rice,2575.0,2600.0,2585.0
2023-02-27,Raigarh,MAHARASHTRA,Rice,3000.0,3200.0,3100.0
2023-10-04,Harda ,MADHYA PRADESH,Wheat,2180.0,2566.0,2470.0
2023-04-01,Aurangabad,MAHARASHTRA,Wheat,2075.0,2075.0,2075.0
2023-02-10,Aligarh,UTTAR PRADESH,Rice,2930.0,2970.0,2950.0
2023-06-13,Jalpaiguri ,WEST BENGAL,Rice,3150.0,3250.0,3200.0
2023-07-04,Paschim Medinipur,WEST BENGAL,Rice,3300.0,3500.0,3400.0
2023-01-16,Chittaurgarh,RAJASTHAN,Wheat,2340.0,2500.0,2450.0
2023-10-31,Budaun,UTTAR PRADESH,Wheat,2350.0,2460.0,2400.0
2023-05-18,Sheopur ,MADHYA PRADESH,Wheat,2042.0,2259.0,2139.0
2023-06-19,Mahoba,UTTAR PRADESH,Wheat,2150.0,2200.0,2200.0
2023-11-29,Idukki ,KERALA,Rice,3600.0,3800.0,3800.0
2023-10-03,Pilibhit,UTTAR PRADESH,Rice,2760.0,2860.0,2830.0
2023-04-25,Gautam Buddha Nagar,UTTAR PRADESH,Rice,2800.0,3100.0,2955.0
2023-07-09,Jyotiba Phule Nagar,UTTAR PRADESH,Rice,2690.0,2710.0,2700.0
2023-11-11,Ujjain,MADHYA PRADESH,Wheat,2580.0,3148.0,2627.0
2023-12-14,Birbhum,WEST BENGAL,Rice,3750.0,3850.0,3800.0
2023-02-21,Dausa,RAJASTHAN,Wheat,2300.0,2380.0,2360.0
2023-12-06,Gautam Buddha Nagar,UTTAR PRADESH,Rice,2800.0,3100.0,2980.0
2023-06-10,Bid,MAHARASHTRA,Wheat,2200.0,2600.0,2300.0
2023-11-29,Jaunpur,UTTAR PRADESH,Rice,2670.0,2730.0,2700.0
2023-09-04,Dohad  ,GUJARAT,Wheat,2700.0,2850.0,2800.0
2023-09-12,Shahjahanpur,UTTAR PRADESH,Wheat,2265.0,2465.0,2365.0
2023-03-16,Sehore,MADHYA PRADESH,Wheat,1890.0,2001.0,2001.0
2023-04-14,Bahraich,UTTAR PRADESH,Wheat,2130.0,2148.0,2140.0
2023-09-06,Jalaun ,UTTAR PRADESH,Wheat,2250.0,2300.0,2275.0
2023-08-02,Nadia ,WEST BENGAL,Rice,4250.0,4350.0,4300.0
2023-08-03,Dhar,MADHYA PRADESH,Wheat,2481.0,2650.0,2600.0
2023-04-05,West Tripura ,TRIPURA,Rice,4400.0,4500.0,4450.0
2023-06-15,Baran,RAJASTHAN,Wheat,2100.0,2321.0,2211.0
2023-06-26,Pratapgarh,UTTAR PRADESH,Rice,2700.0,2800.0,2750.0
2023-11-07,Birbhum,WEST BENGAL,Wheat,3000.0,3100.0,3050.0
2023-07-27,Barddhaman ,WEST BENGAL,Rice,3950.0,4000.0,4000.0
2023-04-08,Uttar Dinajpur,WEST BENGAL,Rice,3900.0,4100.0,4000.0
2023-02-23,Barwani ,MADHYA PRADESH,Wheat,2175.0,2175.0,2175.0
2023-09-03,Basti,UTTAR PRADESH,Rice,2675.0,2775.0,2725.0
2023-02-08,Dhule,MAHARASHTRA,Wheat,2251.0,3037.0,2386.0
2023-06-13,Koriya,CHHATTISGARH,Wheat,2130.0,2130.0,2130.0
2023-11-02,Chittaurgarh,RAJASTHAN,Wheat,2461.0,3051.0,2700.0
2023-05-19,Chikmagalur,KARNATAKA,Rice,4000.0,4000.0,4000.0
2023-06-28,Jalaun ,UTTAR PRADESH,Wheat,2125.0,2140.0,2125.0
2023-08-19,Amreli,GUJARAT,Wheat,2575.0,3175.0,2875.0
2023-01-09,Koch Bihar ,WEST BENGAL,Rice,2600.0,2670.0,2650.0
2023-08-13,Hugli ,WEST BENGAL,Rice,3600.0,3800.0,3700.0
2023-10-17,Hardoi,UTTAR PRADESH,Rice,2580.0,2635.0,2620.0
2023-02-15,Raigarh,MAHARASHTRA,Rice,1000.0,1500.0,1200.0
2023-12-23,West Tripura ,TRIPURA,Rice,4100.0,4300.0,4200.0
2023-05-23,Guna,MADHYA PRADESH,Wheat,2009.0,2321.0,2165.0
2023-07-11,Hamirpur,UTTAR PRADESH,Wheat,2145.0,2200.0,2175.0
2023-10-11,Bhavnagar,GUJARAT,Wheat,2255.0,2840.0,2545.0
2023-01-31,Datia,MADHYA PRADESH,Wheat,2350.0,2750.0,2650.0
2023-08-17,Jamnagar,GUJARAT,Wheat,2250.0,2610.0,2430.0
2023-03-15,Amreli,GUJARAT,Wheat,2150.0,2655.0,2403.0
2023-03-09,Auraiya,UTTAR PRADESH,Wheat,2150.0,2250.0,2200.0
2023-05-13,Bara Banki,UTTAR PRADESH,Wheat,2100.0,2200.0,2150.0
2023-07-12,Jhansi,UTTAR PRADESH,Wheat,2150.0,2185.0,2175.0
2023-02-15,Hugli ,WEST BENGAL,Rice,3400.0,3500.0,3450.0
2023-10-02,Ganganagar ,RAJASTHAN,Wheat,2361.0,2380.0,2372.0
2023-04-12,Etawah,UTTAR PRADESH,Rice,2185.0,2585.0,2385.0
2023-09-08,Unnao,UTTAR PRADESH,Wheat,2300.0,2325.0,2315.0
2023-08-25,Koch Bihar ,WEST BENGAL,Rice,3450.0,3550.0,3500.0
2023-01-20,Sawai Madhopur,RAJASTHAN,Wheat,2674.0,2741.0,2708.0
2023-06-30,Jabalpur,MADHYA PRADESH,Wheat,2111.0,2215.0,2180.0
2023-08-25,Chhatarpur,MADHYA PRADESH,Wheat,2125.0,2128.0,2126.0
2023-10-08,Aurangabad,MAHARASHTRA,Wheat,2450.0,2550.0,2500.0
2023-12-11,Mahamaya Nagar,UTTAR PRADESH,Wheat,2310.0,2455.0,2415.0
2023-01-23,Solapur,MAHARASHTRA,Wheat,1900.0,1900.0,1900.0
2023-01-12,Jhabua,MADHYA PRADESH,Wheat,2100.0,2450.0,2275.0
2023-09-11,Ahmadnagar,MAHARASHTRA,Wheat,2459.0,2713.0,2552.0
2023-08-06,Bankura ,WEST BENGAL,Wheat,2600.0,2850.0,2800.0
2023-05-23,Bharatpur,RAJASTHAN,Wheat,2136.0,2257.0,2197.0
2023-10-05,Bhavnagar,GUJARAT,Wheat,2260.0,2340.0,2300.0
2023-11-25,Buldana,MAHARASHTRA,Wheat,2400.0,2800.0,2600.0
